Longitude,Latitude,Supervisor District,Police District,Analysis Neighborhood
-122.50508957252872,37.7791598647458,1.0,Richmond,Outer Richmond
-122.50501447106592,37.74736729342824,4.0,Taraval,Sunset/Parkside
-122.50498766474732,37.762332397560535,4.0,Taraval,Sunset/Parkside
-122.50495237802993,37.77723856526445,1.0,Richmond,Outer Richmond
-122.50488579234396,37.74550376390193,4.0,Taraval,Sunset/Parkside
-122.50485672376487,37.76047179035887,4.0,Taraval,Sunset/Parkside
-122.50481635778848,37.77537245126671,1.0,Richmond,Outer Richmond
-122.50475258372413,37.7436429298248,4.0,Taraval,Sunset/Parkside
-122.50472545354069,37.758606398892695,4.0,Taraval,Sunset/Parkside
-122.50468026125372,37.7735051932345,1.0,Richmond,Outer Richmond
-122.50462044762068,37.741764680255315,4.0,Taraval,Sunset/Parkside
-122.50459413886948,37.75674029280707,4.0,Taraval,Sunset/Parkside
-122.50454434913937,37.771640386452425,1.0,Richmond,Outer Richmond
-122.50448973666543,37.739906580112375,4.0,Taraval,Sunset/Parkside
-122.50446314579118,37.7548786634233,4.0,Taraval,Sunset/Parkside
-122.50435919878032,37.73805086563403,4.0,Taraval,Sunset/Parkside
-122.50433336933077,37.75301152957514,4.0,Taraval,Sunset/Parkside
-122.50422775211248,37.73618212314209,4.0,Taraval,Sunset/Parkside
-122.5042033141299,37.75114378882435,4.0,Taraval,Sunset/Parkside
-122.5041604260813,37.78112651025471,1.0,Richmond,Outer Richmond
-122.50411688933777,37.76552587338226,4.0,Richmond,Golden Gate Park
-122.5040737086658,37.749282418770896,4.0,Taraval,Sunset/Parkside
-122.50405682725662,37.77970508482509,1.0,Richmond,Outer Richmond
-122.5040487777567,37.76426117163131,4.0,Taraval,Golden Gate Park
-122.50402063428956,37.779208481341634,1.0,Richmond,Outer Richmond
-122.50394181872409,37.74741480176641,4.0,Taraval,Sunset/Parkside
-122.5039163959839,37.76237978278401,4.0,Taraval,Sunset/Parkside
-122.50388062209238,37.777287310131875,1.0,Richmond,Outer Richmond
-122.50381313901607,37.74555087229952,4.0,Taraval,Sunset/Parkside
-122.50378547957988,37.76051913928337,4.0,Taraval,Sunset/Parkside
-122.50374464849608,37.77542146944983,1.0,Richmond,Outer Richmond
-122.50368064156932,37.74369024892556,4.0,Taraval,Sunset/Parkside
-122.50365248248364,37.75865333210248,4.0,Taraval,Sunset/Parkside
-122.50360858654555,37.77355432451514,1.0,Richmond,Outer Richmond
-122.50354896517436,37.74181318858444,4.0,Taraval,Sunset/Parkside
-122.50352357708768,37.75678746738453,4.0,Richmond,Sunset/Parkside
-122.50347269179528,37.77168937972165,1.0,Richmond,Outer Richmond
-122.50341854560496,37.73995395892172,4.0,Taraval,Sunset/Parkside
-122.50339195234363,37.75492613282513,4.0,Taraval,Sunset/Parkside
-122.50328834791804,37.738097789896585,4.0,Taraval,Sunset/Parkside
-122.50326284254994,37.75305885534541,4.0,Taraval,Sunset/Parkside
-122.50315728190172,37.73622916740598,4.0,Taraval,Sunset/Parkside
-122.5031330037878,37.75119035678622,4.0,Northern,Sunset/Parkside
-122.5030864538133,37.781176766186576,1.0,Richmond,Outer Richmond
-122.50300372590476,37.749329833910586,4.0,Taraval,Sunset/Parkside
-122.50297641470584,37.76431112677361,4.0,Taraval,Golden Gate Park
-122.50297226630455,37.77960973658006,1.0,Richmond,Outer Richmond
-122.50294658679618,37.77925732015538,1.0,Richmond,Outer Richmond
-122.50287042330764,37.74746224467281,4.0,Taraval,Sunset/Parkside
-122.50284388080615,37.76242721371097,4.0,Taraval,Sunset/Parkside
-122.50280662376085,37.77733614732225,1.0,Richmond,Outer Richmond
-122.502741740978,37.745597896394585,4.0,Taraval,Sunset/Parkside
-122.502712988963,37.760566532065006,4.0,Taraval,Sunset/Parkside
-122.50267097146664,37.77547056623485,1.0,Richmond,Outer Richmond
-122.50260864033945,37.74373756101482,4.0,Taraval,Sunset/Parkside
-122.50258170297155,37.758700160707946,4.0,Taraval,Sunset/Parkside
-122.5025352195752,37.77360352259677,1.0,Richmond,Outer Richmond
-122.50247673783048,37.74186172134293,4.0,Taraval,Sunset/Parkside
-122.50245048010817,37.756834579739454,4.0,Taraval,Sunset/Parkside
-122.50239961665618,37.771738427832545,1.0,Richmond,Outer Richmond
-122.50234593283982,37.74000139168735,4.0,Taraval,Sunset/Parkside
-122.502318147031,37.75495312831384,4.0,Taraval,Sunset/Parkside
-122.5022153974092,37.73814479607892,4.0,Taraval,Sunset/Parkside
-122.50219102087011,37.75310622940902,4.0,Taraval,Sunset/Parkside
-122.50208403230091,37.736276323868786,4.0,Taraval,Sunset/Parkside
-122.5020603216789,37.7512397644246,4.0,Taraval,Sunset/Parkside
-122.5020311786853,37.73551490812246,7.0,Taraval,Lakeshore
-122.50201199241752,37.78122703591243,1.0,Richmond,Lincoln Park
-122.50192991695438,37.74937740979667,4.0,Taraval,Sunset/Parkside
-122.5019007272568,37.76436077180021,4.0,Taraval,Sunset/Parkside
-122.50188721522068,37.779514334425315,1.0,Richmond,Outer Richmond
-122.50187099712169,37.77930712250172,1.0,Richmond,Outer Richmond
-122.50182635017504,37.76772647999389,1.0,Richmond,Golden Gate Park
-122.50179805835606,37.74750972039315,4.0,Taraval,Sunset/Parkside
-122.50177051488552,37.76247467180821,4.0,Taraval,Sunset/Parkside
-122.50173289730708,37.77738496112274,1.0,Richmond,Outer Richmond
-122.50166937454762,37.74564495328354,4.0,Taraval,Sunset/Parkside
-122.5016396467899,37.760613953876394,4.0,Taraval,Sunset/Parkside
-122.50159788934825,37.775519960358515,1.0,Richmond,Outer Richmond
-122.50153572733606,37.743784903166066,4.0,Taraval,Sunset/Parkside
-122.50150540036482,37.758747220156586,4.0,Taraval,Sunset/Parkside
-122.5014627232137,37.77365267166324,1.0,Richmond,Outer Richmond
-122.50140363153808,37.74191028272125,4.0,Taraval,Sunset/Parkside
-122.5013742161472,37.75688182178777,4.0,Taraval,Sunset/Parkside
-122.50132771158776,37.77178741200465,1.0,Richmond,Outer Richmond
-122.50127247091812,37.74004885168045,4.0,Taraval,Sunset/Parkside
-122.50124924366185,37.75500279233973,4.0,Taraval,Sunset/Parkside
-122.50114162839527,37.738191827906576,4.0,Taraval,Sunset/Parkside
-122.50111792241118,37.7531536505439,4.0,Taraval,Sunset/Parkside
-122.50109748433071,37.735206480304065,7.0,Taraval,Lakeshore
-122.50100999685075,37.73632350550385,4.0,Taraval,Sunset/Parkside
-122.50098748984284,37.75128639357951,4.0,Taraval,Sunset/Parkside
-122.50094505198304,37.78127694472529,1.0,Richmond,Outer Richmond
-122.50085746688757,37.749424914917014,4.0,Taraval,Sunset/Parkside
-122.5008570172404,37.764845906102394,4.0,Richmond,Golden Gate Park
-122.50083059635976,37.7644061399038,4.0,Taraval,Sunset/Parkside
-122.50080253584446,37.77935021687735,1.0,Northern,Outer Richmond
-122.50072620206176,37.74755719940863,4.0,Taraval,Sunset/Parkside
-122.50069817160046,37.7625220756754,4.0,Taraval,Sunset/Parkside
-122.50065991690953,37.77743529163881,1.0,Richmond,Outer Richmond
-122.50059751469496,37.745691977374904,4.0,Taraval,Sunset/Parkside
-122.50056732806608,37.76066131968676,4.0,Taraval,Sunset/Parkside
-122.50051520308622,37.77556911659379,1.0,Richmond,Outer Richmond
-122.50047121592746,37.76578619737336,4.0,Richmond,Golden Gate Park
-122.50046423561396,37.74383217263168,4.0,Taraval,Sunset/Parkside
-122.50045983043844,37.768156874565435,4.0,Richmond,Golden Gate Park
-122.5004360274692,37.75879396657133,4.0,Taraval,Sunset/Parkside
-122.50038632217635,37.77370198998833,1.0,Richmond,Outer Richmond
-122.50033241931558,37.741958749847264,4.0,Taraval,Sunset/Parkside
-122.50030488290524,37.756928749647386,4.0,Taraval,Sunset/Parkside
-122.5002575468952,37.771836307385506,1.0,Richmond,Outer Richmond
-122.50022095522831,37.71895555784868,7.0,Taraval,Lakeshore
-122.50020137437308,37.740096196757534,4.0,Taraval,Sunset/Parkside
-122.50017299023872,37.75505278860069,4.0,Taraval,Sunset/Parkside
-122.50006255837204,37.734904899034014,4.0,Taraval,Sunset/Parkside
-122.50005778104912,37.73823929139547,4.0,Taraval,Sunset/Parkside
-122.50004486668902,37.75320105940191,4.0,Taraval,Sunset/Parkside
-122.50002857566392,37.76616945638728,4.0,Richmond,Golden Gate Park
-122.49993927668432,37.73637053103888,4.0,Taraval,Sunset/Parkside
-122.4999144578406,37.75133376606978,4.0,Taraval,Sunset/Parkside
-122.4998705718611,37.781327195293386,1.0,Richmond,Lincoln Park
-122.49978447254452,37.74947243478667,4.0,Taraval,Sunset/Parkside
-122.49975965421714,37.76444971046123,4.0,Taraval,Sunset/Parkside
-122.49973047383352,37.77940342398334,1.0,Richmond,Outer Richmond
-122.49965413917144,37.74760467752039,4.0,Taraval,Sunset/Parkside
-122.49962745519908,37.76256939715695,4.0,Taraval,Sunset/Parkside
-122.49959057759835,37.77748232791226,1.0,Richmond,Outer Richmond
-122.49952544596933,37.74573900165584,4.0,Taraval,Sunset/Parkside
-122.49949663634436,37.7607086048688,4.0,Taraval,Sunset/Parkside
-122.4994548112422,37.77561786670855,1.0,Richmond,Outer Richmond
-122.4993932425097,37.743879410334394,4.0,Taraval,Sunset/Parkside
-122.49936532771788,37.75884076181072,4.0,Taraval,Sunset/Parkside
-122.4993188704414,37.77375088789304,1.0,Richmond,Outer Richmond
-122.49926207268808,37.74200716729721,4.0,Taraval,Sunset/Parkside
-122.499234222838,37.75697572641856,4.0,Taraval,Sunset/Parkside
-122.49919633684556,37.734311615221074,7.0,Taraval,Lakeshore
-122.4991830432894,37.771885391787954,1.0,Richmond,Outer Richmond
-122.49913150744736,37.74014347789825,4.0,Taraval,Sunset/Parkside
-122.49910255009084,37.75510250428609,4.0,Taraval,Sunset/Parkside
-122.4990390429034,37.734561995271704,4.0,Taraval,Sunset/Parkside
-122.49900135321823,37.738285544389456,4.0,Taraval,Sunset/Parkside
-122.4989723141528,37.753248435428205,4.0,Taraval,Sunset/Parkside
-122.4988694089358,37.73641743760056,4.0,Taraval,Sunset/Parkside
-122.4988422505277,37.75138115987407,4.0,Taraval,Sunset/Parkside
-122.4987696984526,37.78094269193096,1.0,Richmond,Outer Richmond
-122.49873959616716,37.78052925535937,1.0,Richmond,Outer Richmond
-122.49871432612792,37.78016735141258,1.0,Richmond,Outer Richmond
-122.4986873067502,37.76449475965045,4.0,Taraval,Sunset/Parkside
-122.49866462088951,37.77945546701868,1.0,Richmond,Outer Richmond
-122.49858310876016,37.74765210039268,4.0,Taraval,Sunset/Parkside
-122.49855529961762,37.76261677293727,4.0,Taraval,Sunset/Parkside
-122.4985212925455,37.77753091083059,1.0,Richmond,Outer Richmond
-122.49845283298228,37.74578603971991,4.0,Taraval,Sunset/Parkside
-122.49842450432553,37.7607559426098,4.0,Taraval,Sunset/Parkside
-122.49838557331589,37.77566669946862,1.0,Richmond,Outer Richmond
-122.4983570184546,37.71369412498646,7.0,Taraval,Lakeshore
-122.49835415155188,37.76514159113103,4.0,Richmond,Golden Gate Park
-122.49832046251612,37.743926717282704,4.0,Taraval,Sunset/Parkside
-122.49829318785164,37.75888761039598,4.0,Taraval,Sunset/Parkside
-122.49824966743532,37.7737998572183,1.0,Richmond,Outer Richmond
-122.4981895279506,37.74205567451305,4.0,Taraval,Sunset/Parkside
-122.4981621237721,37.75702275572494,4.0,Taraval,Sunset/Parkside
-122.49811385769256,37.77193422222442,1.0,Richmond,Outer Richmond
-122.49805903657663,37.740190864660526,4.0,Taraval,Sunset/Parkside
-122.49803066980505,37.755152277010474,4.0,Taraval,Sunset/Parkside
-122.49800163759843,37.73127783153898,4.0,Taraval,Sunset/Parkside
-122.49792821031708,37.738332519103146,4.0,Taraval,Sunset/Parkside
-122.49790252888056,37.75329568091905,4.0,Taraval,Sunset/Parkside
-122.49779796771058,37.736464402595914,4.0,Taraval,Sunset/Parkside
-122.49777041684824,37.75142632592231,4.0,Taraval,Sunset/Parkside
-122.49766917926917,37.7346170407586,4.0,Taraval,Sunset/Parkside
-122.497663078571,37.78045278205849,1.0,Tenderloin,Outer Richmond
-122.49763880989076,37.7801021551845,1.0,Richmond,Outer Richmond
-122.49761616744074,37.76454466502701,4.0,Taraval,Sunset/Parkside
-122.49759171650147,37.77950408609593,1.0,Richmond,Outer Richmond
-122.49751188326528,37.74769952226536,4.0,Taraval,Sunset/Parkside
-122.49748400563392,37.76266410087082,4.0,Taraval,Sunset/Parkside
-122.49745452596986,37.77757937015435,1.0,Richmond,Outer Richmond
-122.49738160273344,37.74583300667451,4.0,Taraval,Sunset/Parkside
-122.49735323490378,37.76080323336686,4.0,Taraval,Sunset/Parkside
-122.4973187290067,37.77571541347681,1.0,Richmond,Outer Richmond
-122.49724818346256,37.74397399241433,4.0,Taraval,Sunset/Parkside
-122.49722191066432,37.75893441120529,4.0,Taraval,Sunset/Parkside
-122.49718273793184,37.77384871167464,1.0,Richmond,Outer Richmond
-122.49715997096196,37.72976975410381,4.0,Taraval,Sunset/Parkside
-122.4971254922173,37.731541567636455,4.0,Taraval,Sunset/Parkside
-122.4971163969397,37.742104198054456,4.0,Taraval,Sunset/Parkside
-122.49709088616233,37.75706973806818,4.0,Taraval,Sunset/Parkside
-122.49704682306766,37.771982946022824,1.0,Richmond,Golden Gate Park
-122.49698489234264,37.74023831597312,4.0,Taraval,Sunset/Parkside
-122.49695965201894,37.75520200003197,4.0,Taraval,Sunset/Parkside
-122.49685477242264,37.73837949719531,4.0,Taraval,Sunset/Parkside
-122.49683494385964,37.75334281803959,4.0,Taraval,Sunset/Parkside
-122.4967239679878,37.73651147062833,4.0,Taraval,Sunset/Parkside
-122.49670218552332,37.75147607880384,4.0,Taraval,Sunset/Parkside
-122.49663599806227,37.733770842563096,4.0,Taraval,Sunset/Parkside
-122.49662818899574,37.781041794461835,1.0,Richmond,Outer Richmond
-122.49661439462965,37.73335580229482,4.0,Taraval,Sunset/Parkside
-122.49659846431496,37.78063338815973,1.0,Richmond,Outer Richmond
-122.4965962598924,37.73466480891292,4.0,Taraval,Sunset/Parkside
-122.49656568041593,37.78015750894648,1.0,Richmond,Outer Richmond
-122.49652387031853,37.77955058110485,1.0,Richmond,Outer Richmond
-122.49650383806808,37.76398195833151,4.0,Taraval,Sunset/Parkside
-122.4964145607195,37.76271133638986,4.0,Taraval,Sunset/Parkside
-122.49637942044052,37.777628246702285,1.0,Richmond,Outer Richmond
-122.49637887595163,37.729995896222846,4.0,Taraval,Sunset/Parkside
-122.4963094701861,37.74588052178181,4.0,Taraval,Sunset/Parkside
-122.49628381452992,37.76085043259037,4.0,Taraval,Sunset/Parkside
-122.49625876462662,37.7757638039623,1.0,Richmond,Outer Richmond
-122.49624477431892,37.73162035562657,4.0,Taraval,Sunset/Parkside
-122.49619378349712,37.732758578274705,4.0,Taraval,Sunset/Parkside
-122.49617967335186,37.74402109115975,4.0,Taraval,Sunset/Parkside
-122.49616067593702,37.76929182433688,4.0,Park,Golden Gate Park
-122.4961524836229,37.758981121342536,4.0,Taraval,Sunset/Parkside
-122.4961153612992,37.77389757747208,1.0,Richmond,Outer Richmond
-122.4960631288045,37.76546142125085,4.0,Taraval,Golden Gate Park
-122.4960492404396,37.74215244208218,4.0,Taraval,Sunset/Parkside
-122.49602149765326,37.75711662984663,4.0,Richmond,Sunset/Parkside
-122.49597201699906,37.77203201350724,1.0,Richmond,Outer Richmond
-122.49591892644251,37.74028539548744,4.0,Taraval,Sunset/Parkside
-122.49589706401812,37.75525132185669,4.0,Taraval,Sunset/Parkside
-122.49587708695542,37.76273507238089,4.0,Taraval,Sunset/Parkside
-122.49578916131313,37.73842612291146,4.0,Taraval,Sunset/Parkside
-122.49576028989723,37.753390259004824,4.0,Taraval,Sunset/Parkside
-122.49574938001898,37.760874015756045,4.0,Taraval,Sunset/Parkside
-122.49569657160394,37.77166582234381,1.0,Richmond,Golden Gate Park
-122.49565879447093,37.73655814139816,4.0,Taraval,Sunset/Parkside
-122.49563025771214,37.75152682188728,4.0,Taraval,Sunset/Parkside
-122.4956172247721,37.75900449641385,4.0,Taraval,Sunset/Parkside
-122.49559062466874,37.78152726054866,1.0,Tenderloin,Lincoln Park
-122.49553217235606,37.73470795931557,4.0,Taraval,Sunset/Parkside
-122.49548683183072,37.75714024055722,4.0,Taraval,Sunset/Parkside
-122.4954405190585,37.77959124194767,1.0,Richmond,Outer Richmond
-122.49538786106308,37.76338957055555,4.0,Central,Sunset/Parkside
-122.4953576868694,37.7552763549,4.0,Taraval,Sunset/Parkside
-122.49534366867864,37.76275862720522,4.0,Taraval,Sunset/Parkside
-122.4953104394809,37.77767673761538,1.0,Richmond,Outer Richmond
-122.49527142548632,37.733747809105566,4.0,Taraval,Sunset/Parkside
-122.49526346636264,37.76996700325964,1.0,Richmond,Golden Gate Park
-122.49523960234497,37.745927925651635,4.0,Taraval,Sunset/Parkside
-122.49522653922092,37.753413817464384,4.0,Taraval,Sunset/Parkside
-122.49521332591604,37.76089766900431,4.0,Taraval,Sunset/Parkside
-122.49517485485184,37.77581327782788,1.0,Richmond,Outer Richmond
-122.49517335591372,37.73227051408369,4.0,Taraval,Sunset/Parkside
-122.49514386384122,37.73184721389675,4.0,Taraval,Sunset/Parkside
-122.4951092143744,37.74406826637272,4.0,Taraval,Sunset/Parkside
-122.49509826076026,37.75154476616596,4.0,Taraval,Sunset/Parkside
-122.4950823869208,37.75902813055403,4.0,Taraval,Sunset/Parkside
-122.49507003333672,37.730787523507416,4.0,Taraval,Sunset/Parkside
-122.49503905977274,37.77394684147866,1.0,Richmond,Outer Richmond
-122.49502236875811,37.73010337968716,4.0,Taraval,Sunset/Parkside
-122.49497949136462,37.74220079424356,4.0,Taraval,Sunset/Parkside
-122.49495168598308,37.7571638713783,4.0,Taraval,Sunset/Parkside
-122.49491030088411,37.77019807898933,1.0,Richmond,Golden Gate Park
-122.49490330014812,37.77208079416021,1.0,Richmond,Golden Gate Park
-122.49484972396432,37.74033260838693,4.0,Taraval,Sunset/Parkside
-122.49482022187436,37.75530129622971,4.0,Taraval,Sunset/Parkside
-122.49472055073832,37.73847287088267,4.0,Taraval,Sunset/Parkside
-122.49470571387094,37.74595154171792,4.0,Taraval,Sunset/Parkside
-122.49469114894924,37.75343744537977,4.0,Taraval,Sunset/Parkside
-122.4945908131494,37.73660492573417,4.0,Taraval,Sunset/Parkside
-122.49457384379772,37.7440918568,4.0,Taraval,Sunset/Parkside
-122.49456080870576,37.751568258360805,4.0,Taraval,Sunset/Parkside
-122.49451975275728,37.78157729391555,1.0,Richmond,Lincoln Park
-122.49446336884648,37.734810772439026,4.0,Taraval,Sunset/Parkside
-122.49444328547864,37.742225026523485,4.0,Taraval,Sunset/Parkside
-122.49442716687363,37.749705766884105,4.0,Taraval,Sunset/Parkside
-122.49440249519098,37.764686190619194,4.0,Taraval,Sunset/Parkside
-122.49438066599744,37.77964975506475,1.0,Richmond,Outer Richmond
-122.4943125973519,37.740356323289085,4.0,Taraval,Sunset/Parkside
-122.49429881229034,37.73188437594508,4.0,Taraval,Sunset/Parkside
-122.49429708215143,37.747840995816986,4.0,Taraval,Sunset/Parkside
-122.49427044070327,37.76280601002799,4.0,Taraval,Sunset/Parkside
-122.49423952029171,37.777725356116726,1.0,Richmond,Outer Richmond
-122.49418140028568,37.73849645301866,4.0,Taraval,Sunset/Parkside
-122.49416694363453,37.74597537053191,4.0,Taraval,Sunset/Parkside
-122.49413974279364,37.76094503180197,4.0,Taraval,Sunset/Parkside
-122.49410398058994,37.77586214629671,1.0,Richmond,Outer Richmond
-122.4940538193069,37.73663508609258,4.0,Taraval,Sunset/Parkside
-122.4940384739641,37.74411544389778,4.0,Taraval,Sunset/Parkside
-122.49401487815103,37.735023412524754,4.0,Taraval,Sunset/Parkside
-122.49400998804455,37.75907551135963,4.0,Taraval,Sunset/Parkside
-122.49396822278104,37.773995846473085,1.0,Richmond,Outer Richmond
-122.49390704045511,37.74224865242132,4.0,Taraval,Sunset/Parkside
-122.49387744329948,37.75721129804043,4.0,Taraval,Sunset/Parkside
-122.49383248064382,37.772129661055054,1.0,Richmond,Golden Gate Park
-122.49382345230345,37.77028284509647,1.0,Richmond,Golden Gate Park
-122.49377548387382,37.74038003472383,4.0,Taraval,Sunset/Parkside
-122.49375077008791,37.755350921231994,4.0,Taraval,Sunset/Parkside
-122.49371880450369,37.73190987860357,4.0,Taraval,Sunset/Parkside
-122.49366815307012,37.73851920682472,4.0,Mission,Sunset/Parkside
-122.49361854305064,37.75348477532028,4.0,Taraval,Sunset/Parkside
-122.49354017498943,37.73670575615531,4.0,Taraval,Sunset/Parkside
-122.49348804615794,37.75161390398984,4.0,Taraval,Sunset/Parkside
-122.49344634621303,37.78162723776503,1.0,Richmond,Lincoln Park
-122.49340696787203,37.7348561203188,4.0,Taraval,Sunset/Parkside
-122.4933582535052,37.749753046438144,4.0,Taraval,Sunset/Parkside
